question,gold,GPT-3 generated,with_mem_learned_ir generated
what is a sentence that can be used to define < protector > ?,the definition of protector is one having the care of the kingdom during the king's minority,a sentence with protector is: a [ protector ] of the innocent,the definition of protector is a person who is appointed to manage the affairs of another person who is unable to manage them
< field > can be used how ?,a sentence with field is: aerial view of the field with trees covered with yellow foliage,a sentence with field is: a battle [ field ] is a place for a battle,a sentence with field is: the [ field ] is covered with wheat
make something with < penalty > ?,a sentence with penalty is: footballer sees his penalty saved during the match .,the sentence for penalty is : if you are late to work you will have to [ pay a penalty ],a sentence with penalty is: the [ penalty ] for cleptomania is imprisonment
make something with < flower > ?,a sentence with flower is: bees find nectar on a yellow flower,something made with flower is: a fine garnish for a good meal,a sentence with flower is: a [ flower ] bouquet
What is akin to < emotional > ?,the synonym for emotional is feeling,the antonym for emotional is dispassionate,the synonym for emotional is amatory
What is unlike < skunk > ?,the antonym for skunk is tie,the synonym for skunk is polecat,the antonym for skunk is kitten
what has a < bailing > like ring to it ?,the homonym for bailing is baiting,the word with a bailing like ring to it is bailiff,the homonym for bailing is bail
What is akin to < shield > ?,the synonym for shield is cover,the synonym for shield is protection,the synonym for shield is protector
expand on < gentlewoman > ?,the definition of gentlewoman is a woman of good family or of good breeding,"the expansion of gentlewoman is a woman of good breeding; ""a lady is a gentlewoman""",the definition of gentlewoman is a woman of good breeding.
make something with < top > ?,a sentence with top is: a building with a clock on the outside of it and a compass on top of it.,something with top is an open topped military vehicle.,a sentence with top is: he hurt his [ top ] working out
give me something i would hear as < knock > ?,the homonym for knock is nock,something you would hear as knock is: [ knock knock ],the homonym for knock is knock
What is similar to < aggregate > ?,the synonym for aggregate is gather,the similar word for aggregate is collection,the synonym for aggregate is mass
< centiped > means what ?,the definition of centiped is a species of the myriapoda,centiped means a creature that has a hundred feet.,the definition of centiped is a large yellowish-white european wood louse with a long body and seven pairs of legs.
what has a < pleas > like ring to it ?,the homonym for pleas is leas,a plea like word is: plea,the homonym for pleas is please
expand on < analogy > ?,the definition of analogy is a resemblance of relations,the expansion of analogy is a figure of speech in which one thing is compared to another.,the definition of analogy is a comparison between two things that are not alike in most ways but are alike in one or two ways.
what can one confuse with < feint > ?,the homonym for feint is faint,the word one can confuse with feint is fain,the homonym for feint is faint
make something with < complex > ?,a sentence with complex is: building is part of an acre complex .,something complex is: a [ complex ] idea,a sentence with complex is: the [ complex ] is located in the center of the city
What is the opposite of < arm > ?,the antonym for arm is disarm,the opposite of arm is leg,the antonym for arm is hand
What is unlike < saloon > ?,the antonym for saloon is desert,the antonym for saloon is saloon,the antonym for saloon is tavern
what has a < marque > like ring to it ?,the homonym for marque is marquis,"an example of marque like ring is: ""i will slay the monster marque !""",the homonym for marque is mark
< sciurus > means what ?,the definition of sciurus is a genus of rodents comprising the common squirrels.,the word < sciurus > means a small squirrel,"the definition of sciurus is a small, tailless, north american squirrel."
give me something i would hear as < fetid > ?,the homonym for fetid is feted,the phrase you would hear as fetid is: a stench of putrefaction,the homonym for fetid is feta
What is similar to < fee > ?,the synonym for fee is cost,the word similar to fee is fleece,the synonym for fee is revenue
What is akin to < fee > ?,the synonym for fee is payment,the word akin to fee is akin,the synonym for fee is charge
give me something that contains < terminal > in it ?,a sentence with terminal is: light streams through windows at the railroad and ferry terminal creating a beautiful silhouette,the something that contains terminal is terminal illness,a sentence with terminal is: our guests are arriving at the [ terminal ]
What is different than < rationale > ?,the antonym for rationale is excuse,the difference between rationale and different is that rational is more rational than different.,the antonym for rationale is irrational
expand on < shears > ?,the definition of shears is a pair of wings.,a sentence with shears is: the [ shears ] are a kind of scissors for cutting cloth.,the definition of shears is an instrument for cutting cloth or paper or other soft materials
What is similar to < iodine > ?,the synonym for iodine is stain,the similarity for iodine is iodide,the synonym for iodine is xanthate
what can one confuse with < berry > ?,the homonym for berry is err,one can confuse berry with cherry.,the homonym for berry is bury
< darkness > means what ?,the definition of darkness is a state of ignorance or error,the definition of darkness is the absence or deprivation of light.,the definition of darkness is the state of the absence of light; the physical fact of the absence of light.
What is similar to < emperor > ?,the synonym for emperor is tsar,the similar word to emperor is monarch,the synonym for emperor is monarch
What is like < vital > ?,the synonym for vital is critical,the homonym for vital is fowl,the synonym for vital is important
< period > means what ?,the definition of period is a complete musical sentence.,the definition of period is a complete sentence or a complete series of related sentences.,a definition of period is a fixed or stipulated time.
give me something that contains < portrait > in it ?,a sentence with portrait is: portrait of businesswoman with laptop writes on a document at office,something that contains portrait in it is: a portrait in oils,a sentence with portrait is: the [ portrait ] of a king
< award > can be used how ?,a sentence with award is: award why nominees are wearing black in protest on the red carpet,the way to use award is: to confer honors or rewards on (a person).,a sentence with award is: [ award s ] are given to the person [ award e d ]
what can one confuse with < son > ?,the homonym for son is sonny,one can confuse son with sun,the homonym for son is sun
What is like < sensory > ?,the synonym for sensory is tactile,the synonym for sensory is sensory-impaired,the synonym for sensory is intuitive
expand on < derivement > ?,the definition of derivement is that which is derived,the expansion for derivment is the act of deriving,"the definition of derivment is a word formed from another, either directly or through a series of derivations."
what is a sentence that can be used to define < townhall > ?,the definition of townhall is a public hall or building,a sentence with townhall is: the [ townhall ] is the place where the people of the town meet,the definition of townhall is a building in which the town meetings of a municipality are held.
what has a < adze > like ring to it ?,the homonym for adze is daze,the word having an adze like ring to it is adze,the homonym for adze is ease
What is like < skunk > ?,the synonym for skunk is cheat,the homonym for skunk is stunk,the synonym for skunk is stink
what can one confuse with < skull > ?,the homonym for skull is sell,a word which can be confused with skull is tocsin,the homonym for skull is scull
What is similar to < vague > ?,the synonym for vague is fuzzy,the synonym for vague is indefinite,the synonym for vague is cloudy
What is unlike < critique > ?,the antonym for critique is accept,the unlike for critique is praise,the antonym for critique is panegyric
< archduchess > means what ?,the definition of archduchess is the consort of an archduke,the meaning of archduchess is a female archduke,the definition of archduchess is the daughter of an archduke or archduchess.
What is unlike < pneumatic > ?,the antonym for pneumatic is clear,the homonym for pneumatic is spooky,the antonym for pneumatic is manual
What is like < court > ?,the synonym for court is woo,the homonym for court is deaf,the synonym for court is sovereign
What is the opposite of < unrefined > ?,the antonym for unrefined is refined,the opposite of unrefined is refined,the antonym for unrefined is refined
what is a sentence that can be used to define < chaplet > ?,the definition of chaplet is a chapelet. see chapelet,a sentence with chaplet is: a chaplet is a wreath of flowers worn on the head by women,"the definition of chaplet is a circlet of flowers, beads, etc. worn on the head."
What is different than < geologic > ?,the antonym for geologic is atmospheric,different from geologic is geographic,the antonym for geologic is geological
expand on < pulp > ?,the definition of pulp is the exterior part of a coffee berry.,the expansion of pulp is used to make paper,"the definition of pulp is secondhand books, magazines, etc., as opposed to new ones."
< bottle > means what ?,the definition of bottle is the contents of a bottle,a bottle is a vessel for holding and storing liquids.,a sentence with bottle is: a bottle of wine is a glass bottle for storing wine.
what can one confuse with < mussel > ?,the homonym for mussel is mussels,the homonym for mussel is a moth,the homonym for mussel is muscle
what can one confuse with < bier > ?,the homonym for bier is bite,you can confuse bier with beer,the homonym for bier is beer
make something with < hay > ?,a sentence with hay is: three zebras eating hay from a trough at the zoo.,something with hay is: a horse's food is [ hay ],a sentence with hay is: a [ hay ] stack is the place where [ hay ] is kept.
give me something i would hear as < wright > ?,the homonym for wright is weight,something you would hear as wright is: a [ wright ] is a person who makes things with wood.,the homonym for wright is right
what can one confuse with < purr > ?,the homonym for purr is purl,one can confuse purr with purl,the homonym for purr is pour
What is akin to < polish > ?,the synonym for polish is shine,the synonym for polish is varnish,the synonym for polish is persian
< enter > can be used how ?,a sentence with enter is: military commander greets you as you enter chinese structure through tourist attraction,the sentence with enter is: [ enter ] is a verb used to enter a building.,a sentence with enter is: the stock market [ enters ] a new era
What is like < confine > ?,the synonym for confine is hold,the homonym for confine is confined,the synonym for confine is restrain
What is different than < catalogue > ?,the antonym for catalogue is disorder,the difference between catalogue and catalog is catalog is mostly used to refer to the large catalogs that come in the mail.,the antonym for catalogue is collection
What is different than < foot > ?,the antonym for foot is chin,the difference between foot and hoof is that foot is a limb of a human or an animal that is supported by the end of the toes while hoof is the horn-shaped part of the foot of a hoofed animal.,the antonym for foot is hand
what is a sentence that can be used to define < agrom > ?,the definition of agrom is a disease occurring in bengal and other parts of the east indies,a sentence with agrom is: farming in the desert is [ agrom ],the definition of agrom is a fertile soil
What is different than < court > ?,the antonym for court is shun,different than court is: [ court ] is a place of law and order.,the antonym for court is palace
what has a < mane > like ring to it ?,the homonym for mane is made,the word that has a mane like ring to it is mane,the homonym for mane is main
What is unlike < crab > ?,the antonym for crab is joy,the homonym for crab is crack,the antonym for crab is lion
< leafcup > means what ?,the definition of leafcup is a coarse american composite weed (polymnia uvedalia).,the meaning of leafcup is a genus of plants of the loosestrife family.,the definition of leafcup is a cup-shaped part of a leaf.
make something with < galaxy > ?,a sentence with galaxy is: stars in the galaxy are seen in this image released by spacecraft manufacturer .,a something with galaxy is a galaxy of stars,a sentence with galaxy is: a [ galaxy ] of stars
give me something i would hear as < tach > ?,the homonym for tach is tacks,the sentence with tach is: the [ tach ] on my car is broken,the homonym for tach is tack
expand on < eburin > ?,the definition of eburin is a composition of dust of ivory or of bone with a cement,eburin is latin for ivory.,the definition of eburin is a kind of saber or cutlass.
what has a < quay > like ring to it ?,the homonym for quay is bay,the word with a quay like ring to it is quack,the homonym for quay is key
give me something that contains < fragment > in it ?,a sentence with fragment is: fragment of a wall from a chipped stone,a fragment of a wastebasket is a fragment of a wastebasket,a sentence with fragment in it is: fragments of glass cover the [ fragment ] in the [ fragment ]
expand on < madrier > ?,the definition of madrier is a plank or beam used for supporting the earth in mines or fortifications.,"expanded, madrier is a kind of larch tree.",the definition of madrier is a tree that yields a yellow dye and a black wood.
give me something i would hear as < spoor > ?,the homonym for spoor is spore,something you would hear as spoor is hounds baying on a cold trail.,the homonym for spoor is pour
give me something that contains < day > in it ?,a sentence with day is: old town with the castle seen from church on a sunny day,something that contains day is: the day is done,a sentence containing day is: the [ day ] is a period of light between one night and another
what can one confuse with < want > ?,the homonym for want is wane,one can confuse want with thirst,the homonym for want is wanton
What is akin to < pocket > ?,the synonym for pocket is holder,the word akin to pocket is similar,the synonym for pocket is pouch
make something with < town > ?,a sentence with town is: a view up one of the old cobbled streets of the colonial town .,something with town is: a town meeting,a sentence with town is: the town is the place where the people live.
What is similar to < disjoint > ?,the synonym for disjoint is dislocate,the similar word for disjoint is disjoin,the synonym for disjoint is disconnected
< lyric > means what ?,the definition of lyric is a verse of the kind usually employed in lyric poetry,the meaning of lyric is a poem set to music.,the definition of lyric is a song.
< spewiness > means what ?,the definition of spewiness is the state of being spewy.,the definition of spewiness is the state or quality of being full of or characterized by or containing or abounding in something that is disgusting or distasteful.,the definition of spewiness is a syphilitic sores.
What is similar to < clam > ?,the synonym for clam is bivalve,the synonym for clam is mollusk,the synonym for clam is [ clamor ]
give me something i would hear as < nob > ?,the homonym for nob is knob,something you would hear as nob is : he is a [ nob ],the homonym for nob is knob
What is akin to < coupling > ?,the synonym for coupling is joint,the akin to coupling is attachment,the synonym for coupling is connection
< leper > means what ?,the definition of leper is a person affected with leprosy.,a sentence with leper is: a leper is a person with a disease that makes his skin scaly and white.,the definition of leper is a person who has leprosy.
< car > can be used how ?,a sentence with car is: a race car loses control during a race,a sentence with car is: [ car ]s are used for transporting people,a sentence with car is: cars make a lot of noise.
give me something i would hear as < seeder > ?,the homonym for seeder is seer,something you would hear as seeder is: someone who plants things in the ground or causes seeds to be planted.,the homonym for seeder is said
< sheep > can be used how ?,a sentence with sheep is: the  rams and sheep are grazing in the tall grassy pasture.,a sentence with sheep is: [ sheep ] is one of the [ multitude ],a sentence with sheep is: a flock of [ sheep ] graze on a hillside
< gutter > means what ?,the definition of gutter is a small channel at the roadside or elsewhere,"gutter means a drain for carrying off water from a roof, or similar structure.",the definition of gutter is a channel along the eaves of a building to conduct rain-water to a downpipe.
what is a sentence that can be used to define < line > ?,the definition of line is the reins with which a horse is guided by his driver.,a sentence with line is: the line of your mouth is determined by the [ line ] of your jaw,a definition for line is a stroke of a pen.
What is akin to < achieve > ?,the synonym for achieve is accomplish,the synonym for achieve is realize,the synonym for achieve is acquire
What is akin to < toil > ?,the synonym for toil is struggle,the antonym of toil is leisure,the synonym for toil is drudgery
What is akin to < picture > ?,the synonym for picture is visualize,the akin to picture is cinema,the synonym for picture is portrait
give me something that contains < rise > in it ?,a sentence with rise is: morning for over the sun rise with lights,something that contains rise is rise,a sentence with rise is: the soldiers [ rise ] from their seats
what can one confuse with < border > ?,the homonym for border is bore,one can confuse border with frontier,the homonym for border is boarder
< head > can be used how ?,a sentence with head is: a trader balances boxes of roses on his head in historic flower market,head can be used as a headdress.,a sentence with head is: an [ head ] is the upper part of the human body
What is similar to < amalgamate > ?,the synonym for amalgamate is unite,the synonym for amalgamate is merge,the synonym for amalgamate is unite
< plaguer > means what ?,the definition of plaguer is one who plagues or annoys.,the definition of plaguer is one who or that which plagues.,the definition of plaguer is a predacious toad.
What is different than < sum > ?,the antonym for sum is detract,"the difference between sum and its is that sum is a collection of things, while its is possessive of it.",the antonym for sum is remainder
give me something i would hear as < pries > ?,the homonym for pries is pride,the word you are looking for is prays,the homonym for pries is prays
what can one confuse with < coarse > ?,the homonym for coarse is core,the homonym for coarse is coars,the homonym for coarse is course
what can one confuse with < aerie > ?,the homonym for aerie is aero,the homonym for aerie is aery,the homonym for aerie is aery
What is akin to < aggregate > ?,the synonym for aggregate is group,the synonym for aggregate is integral,the synonym for aggregate is collected
What is similar to < immobilize > ?,the synonym for immobilize is stagnate,the synonym for immobilize is paralyze,the synonym for immobilize is immobilise
what can one confuse with < pencil > ?,the homonym for pencil is pensil,the homonym for pencil is pensil,the homonym for pencil is pen
expand on < gong > ?,the definition of gong is a privy or jakes.,the expansion on gong is a musical instrument consisting of a flat disk of metal suspended vertically and struck with a hammer.,"the definition of gong is a large flat disk of metal, typically circular, that makes a loud resonant sound when struck."
What is like < vague > ?,the synonym for vague is aloof,the synonym for vague is tenuous,the synonym for vague is indefinite
give me something that contains < leopard > in it ?,a sentence with leopard is: sad lonely leopard in cage at the zoo,something containing leopard is a [ spotted leopard ] coat,a sentence with leopard in it is: a [ leopard ] is a kind of large spotted feline.
what is a sentence that can be used to define < flagellant > ?,the definition of flagellant is one of a fanatical sect which flourished in europe in the 13th and 14th centuries,a sentence with flagellant is: a flagellant whips himself to death,the definition of flagellant is a person who beats himself with a whip as a sign of penance.
expand on < truckman > ?,the definition of truckman is one who does business in the way of barter or exchange.,truckman is someone who drives a truck,the definition of truckman is: a man who drives a truck.
what has a < bode > like ring to it ?,the homonym for bode is boer,the pun with bode is bode ill,the homonym for bode is said
make something with < shelf > ?,a sentence with shelf is: woman pulling out a book from a shelf,something with shelf is: a home for books,a sentence with shelf is: shelf is also an archaic term for bookshelf.
< souple > means what ?,the definition of souple is that part of a flail which strikes the grain.,a synonym for souple is flexible,the definition of souple is flexible.
< ring > can be used how ?,a sentence with ring is: boxers fight on the boxing ring,a sentence with ring is: a bell [ rings ],"a sentence with ring is: at the end of the bell round, the bell [ rings ]"
< hair > can be used how ?,a sentence with hair is: coloured headbands for hair and flowers to decorate the hairstyle for little girl,"hair can be used as an adjective, adjective, noun, or noun",a sentence with hair is: [ hair ] is a covering of a person's head
< sheep > can be used how ?,a sentence with sheep is: a flock of sheep are gathered at the corner of a cabin in a field.,a sentence with sheep is: the [ sheep ] grazed the grass,a sentence with sheep is: the [ sheep ] is led to the slaughterhouse
give me something i would hear as < tale > ?,the homonym for tale is tailer,the something you would hear as tale is a [ tale ],the homonym for tale is tail
What is similar to < boom > ?,the synonym for boom is explode,the synonym for boom is thud,the synonym for boom is bam
make something with < aircraft > ?,a sentence with aircraft is: military aircraft flying over towers,something with aircraft is: they're in the [ aircraft ] bay,a sentence with aircraft is: a red-tailed booby lands on a [ aircraft ]
expand on < sarcophagus > ?,the definition of sarcophagus is a coffin or chest-shaped tomb of the kind of stone described above,the expansion of sarcophagus is the stone coffin used by the ancient greeks and romans; used to place dead bodies in.,the definition of sarcophagus is a large stone coffin
what can one confuse with < you > ?,the homonym for you is your,one can confuse you with pronoun,the homonym for you is ruse
what is a sentence that can be used to define < setting > ?,the definition of setting is that in which something,a sentence with setting is: the setting sun created a purple haze over the city,"the definition of setting is the circumstances that form the setting for an event, statement, etc."
< metatarsus > means what ?,the definition of metatarsus is that part of the skeleton of the hind or lower limb between the tarsus and phalanges,the definition of metatarsus is the middle foot bone or bone of the second row of the hind limb of vertebrates.,the definition of metatarsus is the middle section of the foot between the ankle and the toes.
what is a sentence that can be used to define < contrariety > ?,the definition of contrariety is something which is contrary to,a sentence with contrariety is: the [ contrariety ] is quite marked in the north,the definition of contrariety is the quality or state of being contrary; opposition
What is akin to < emasculate > ?,the synonym for emasculate is weaken,the synonym for emasculate is castrate,the synonym for emasculate is enervate
expand on < sign > ?,the definition of sign is a word or a character regarded as the outward manifestation of thought,"the expansion on sign is a print of the hand in which the thumb is opposed to the little finger, and the remaining three fingers are extended.",the definition of sign is a motion or action of the hand or some object especially intended to convey a particular impression.
< coast > can be used how ?,a sentence with coast is: a beautiful sunrise taken by a non touristic beach on the east coast,a sentence with coast is: the [ coast ] was dotted with shipwrecks,a sentence with coast is: the ship [ coast ] the coast of the island
< dirt > can be used how ?,a sentence with dirt is: a man is driving a digger and moving some dirt around in a yard,the use is dirty,a sentence with dirt is: [ dirt ] can be used for carpentry.
What is like < court > ?,the synonym for court is date,the homonym for court is coarse,the synonym for court is justice
What is different than < immortal > ?,the antonym for immortal is mortal,the different than immortal is mortal,the antonym for immortal is mortal
what can one confuse with < bussed > ?,the homonym for bussed is buss,one can confuse bussed with bust,the homonym for bussed is bust
make something with < wasp > ?,a sentence with wasp is: wasp sits near the nest,something with wasp is a kind of lumpy yellow cheese that is very good with biscuits.,a sentence with wasp is: bumblebees are [ wasps ]
what is a sentence that can be used to define < anastrophe > ?,the definition of anastrophe is an inversion of the natural order of words,a sentence with anastrophe is: the [ anastrophe ] of a sentence is a word or words put in an unexpected place,"the definition of anastrophe is a figure of speech in which the manner, order, or place of words are inverted, as in “sail to me, o muse”."
What is like < township > ?,the synonym for township is borough,the homonym for township is twit,the synonym for township is district
What is unlike < fee > ?,the antonym for fee is bonus,the antonym for fee is gift,the antonym for fee is tax
give me something that contains < ship > in it ?,a sentence with ship is: a building built in model of a ship,something that contains ship in it is: the [ ship ] of state,a sentence with ship is: the ship sailed into the harbor
< tree > can be used how ?,a sentence with tree is: old banyan tree growing in the ancient ruin of temple,the usage of tree is as a noun or a verb.,a sentence with tree is: the [ tree ] groans under the weight of apples that hang from its branches
